Loan ID,Customer ID,Loan Status,Current Loan Amount,Term,Credit Scoree,Annual Income,Years in current job,Home Ownership,Purpose,Monthly Debt,Years of Credit History,Months since last delinquent,Number of Open Accounts,Number of Credit Problems,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens,Credit Score,FICO Score,payhis,amtowed,lenofcrhis,newcred,Score,Starting_Score,Payment_History_Score,Amount_Owed_Score,Length_Credit_Score,Credit_Mix_Score,CSPAScore
c16a7659-d650-4969-a2cd-37fe0e3e51e4,9b686d15-8a52-4af6-a98e-1b9f282ed472,Fully Paid,539792,Long Term,585,3748719,10,Own Home,other,47483.85,26.5,30,8,0,241680,278168,0,0,585,Fair,220.11,225.99985299679037,152.24747583844524,53.37480609952844,672,300,85.87,33.44899485203187,163.155,8,590
458c9708-7796-4dfc-b0bb-085e849238c7,d9f26f07-0178-4aa0-802c-5abaef08a792,Charged Off,601216,Long Term,585,1622600,10,Home Mortgage,Debt Consolidation,34209.5,27.4,26,23,0,201267,886050,0,0,585,Fair,216.71,275.9998680155535,150.24809507824787,57.38801456431816,720,300,103.97,197.07653631284916,153.238,23,777
14babfcc-fe6c-4099-85bf-0e64c20b77ac,8191f485-f201-45d7-89a3-a9ba21d249f1,Charged Off,715396,Long Term,585,7723120,10,Home Mortgage,Business Loan,39001.68,32.6,53,9,0,6489013,12481040,0,0,585,Fair,216.75,329.9998890807788,157.2509974411944,53.98631573531125,778,300,122.94,122.4230420702121,250.282,9,805
aba646fa-ab20-42ba-9146-0afbc70fe553,badbb5dc-9aef-4f7b-8d66-5233a296a5e7,Fully Paid,265892,Long Term,587,4975568,2,Rent,Debt Consolidation,34207.03,14.3,5,8,0,56810,67606,0,0,587,Fair,219.64,224.9997015663801,117.73123375960309,53.37480609952844,636,300,37.07,40.72094192823122,53.580999999999996,8,439
26216643-fcd8-4b9c-89a5-3b1e6aa18e6b,e484c11c-df41-4147-999c-a555e55f1f37,Fully Paid,78870,Long Term,587,647748,5,Rent,other,7772.9,10.5,35,5,0,62529,94644,0,0,587,Fair,216.27,255.9989939025729,154.21824944232432,50.50611121761507,697,300,65.65,86.52767211867629,135.835,5,593
fc2c1b79-8447-4e33-8c89-355775063795,1ba91733-2719-415f-b356-a0aae72f491c,Charged Off,265870,Long Term,587,768588,8,Rent,Debt Consolidation,25427.32,27.7,33,14,0,199462,386870,0,0,587,Fair,220.77,274.9997015416856,153.74829245507337,55.89194809403705,725,300,93.16,123.52738646056815,175.599,14,706
137b0f16-869e-483f-bf58-440e2125f7a3,e3223589-47f2-4019-aa77-404c556c887b,Charged Off,385110,Long Term,587,1039357,10,Home Mortgage,small_business,15936.82,12.4,48,12,0,77083,238634,0,0,587,Fair,209.64,227.99979395201575,156.72575980647966,55.29448983,670,300,106.56,172.63049272107077,180.948,12,772
4a06f358-51c8-44e8-9a3d-5fa2343a9c25,e3ff17f9-3605-49f6-b1fc-7ed9223b9c38,Charged Off,275066,Long Term,588,774136,5,Rent,other,20772.51,5.1,29,4,0,169613,306878,0,0,588,Fair,206.87,249.99971151972625,151.66456293352164,48.94427190999916,677,300,56.34,114.06022914643603,102.93700000000001,4,577
cebd7b0c-ae72-44f0-b421-3a218f02d2ac,a58309a7-5c51-45f1-ab84-4b8fc914e429,Charged Off,292930,Long Term,588,1321697,1,Home Mortgage,Debt Consolidation,23570.26,22.7,22,11,0,287166,419826,0,0,588,Fair,218.99,272.99972911234715,147.74431294733856,54.92603791,715,300,69.13,80.57695331,128.369,11,589
e9bf7c0e-7571-4191-b94d-c2d2e6e2f3dc,d52f53e0-7f35-42c2-bda5-9eecc4bf7b42,Charged Off,766612,Long Term,588,2024051,3,Rent,Debt Consolidation,23613.96,20,8,8,0,75164,175098,0,0,588,Fair,207.81,224.9998964910941,124.74132455753356,53.37480609952844,631,300,71.46,145.53661378199635,78.03999999999999,8,603
1491e64a-d9d5-4714-9bf2-1b8f9724b34f,4400a5f9-1296-4547-9d0c-425a9a82beec,Fully Paid,760694,Long Term,588,2533973,10,Home Mortgage,Debt Consolidation,27029.02,22.1,11,20,1,691809,1142724,1,0,588,Fair,210.37,277.99989568582225,131.74371279835896,57.02679845,697,300,91.24,100.62213185336091,92.887,20,605
98c1f45c-89d9-4a00-96ae-03e88b5f5c77,25c20da9-9b6f-4877-8bd0-af95bd20a230,Fully Paid,307846,Long Term,588,1804107,2,Rent,Business Loan,13184.86,13.8,43,2,0,74157,142890,0,0,588,Fair,210.71,225.9997422375993,155.72994247836075,44,656,300,84.15,122.66019315557423,169.286,2,678
cddbd3c3-dca2-43f0-bd35-fb7c4a0e787b,bdb62c52-116c-4ba1-bc81-3b31d9f5e02e,Fully Paid,350284,Long Term,588,3937465,4,Rent,Debt Consolidation,63655.51,26.7,19,25,0,314374,756800,0,0,588,Fair,223.58,309.99977346629254,144.74761709451516,57.58378623081779,756,300,80.2,149.07324260042284,129.809,25,684
eb563802-8f41-4f28-9410-1995b8ad0a6c,560a3d7d-fcbb-4f27-bd83-3ff43835eb49,Charged Off,673948,Long Term,589,1711881,10,Home Mortgage,other,10727.78,11.4,14,10,0,307838,460526,0,0,589,Fair,191.19,228.9998822592171,137.7221270488452,54.49559327355391,632,300,108.22,84.54558483125817,73.558,10,576
20d7dec8-a796-47b6-a1fc-868156636612,cc66c584-a246-43db-b767-4fe393f0cb7c,Charged Off,753984,Long Term,589,1916302,10,Home Mortgage,Debt Consolidation,31299.46,27.9,17,17,0,2196020,3070958,0,0,589,Fair,213.24,327.99989475748976,142.24842165677163,56.55000885382151,760,300,95.99,72.65133225527669,126.853,17,612
2cfe5516-0729-40b1-b603-1c4ef803952f,b44eac83-4f09-423d-9487-c79e72aa9916,Fully Paid,244112,Long Term,590,790571,3,Home Mortgage,Debt Consolidation,6851.59,9.5,13,7,1,57684,161304,1,0,590,Fair,201.91,228.9996749397644,136.21305271842013,52.62770071117839,640,300,68.13,163.80932896890343,65.405,7,604
68151bc2-791b-4dad-904f-c1563427ee71,f1410ea9-0f13-4b41-a2a1-8d3e76f94487,Fully Paid,551980,Long Term,590,2764918,4,Home Mortgage,Debt Consolidation,19124.07,17.5,40,8,0,247703,293568,0,0,590,Fair,209.06,226.99985624269445,155.23772156638978,53.37480609952844,665,300,98.36,39.83940688358404,169.925,8,616
a263f412-7fc6-42e3-981b-1a9849f1d9a3,2c657180-a398-453a-8441-d9370173bc76,Charged Off,554246,Long Term,590,1577950,10,Rent,Debt Consolidation,25641.64,14,53,8,0,330011,409992,0,0,590,Fair,211.72,230.99985683043687,157.23047029007805,53.37480609952844,673,300,106.62,49.745251126851244,200.62,8,665
78b60929-4338-4d4f-aee5-588463e54300,eb0d6917-cb8e-4726-b550-8c72fe3c2834,Fully Paid,292380,Short Term,590,3030101,1,Rent,small_business,26260.85,16.4,29,12,0,285874,819346,0,0,590,Fair,218.39,321.9997286027772,151.73578204245754,55.29448983,767,300,69.53,166.02919889765738,133.108,12,681
d7a806dc-37af-4cc2-8753-821ce68c56c7,1f7d7845-e288-4359-b70a-27fb32060939,Charged Off,783244,Long Term,591,1584790,7,Home Mortgage,Debt Consolidation,25224.78,13.2,38,10,0,308503,498872,0,0,591,Fair,206.47,227.9998986890803,154.728261,54.49559327355391,664,300,99.25,97.30771620776471,152.284,10,659
19ccfbec-f311-45a3-936a-3949bc0942da,4a295c0f-af1b-45fe-9767-465f9dc2ed60,Fully Paid,652740,Long Term,591,2160965,7,Home Mortgage,other,16819.37,16,48,7,0,118427,150194,0,0,591,Fair,203.72,224.99987843373464,156.73500943211693,52.62770071117839,658,300,116.81,53.93414517224391,190.56,7,668
a3a211f5-91a1-46a3-bc47-e15ad7d49a28,b863c85f-1529-4cc7-b656-05bc37669ba0,Charged Off,248358,Long Term,591,1663602,10,Home Mortgage,Debt Consolidation,1774.41,23,11,5,0,48127,75724,0,0,591,Fair,170.58,224.99968049708136,131.74460113057935,50.50611121761507,598,300,188.97,92.93268976810523,95.28999999999999,5,682
6fc553ca-3330-4283-8f19-6a9945a3a4e9,86794e26-999e-42a2-bc97-06da3640fe22,Charged Off,197934,Long Term,592,797753,6,Rent,other,11833.39,12.9,25,6,0,114285,147356,0,0,592,Fair,213.91,230.99959910332765,149.72736019914706,51.69607095285146,666,300,66.63,57.22946469773881,111.443,6,541
44b103f3-9bce-4af6-9fea-2908706ce202,18aff92c-d5cb-4b78-84ea-5fa85fd282e0,Charged Off,605814,Long Term,592,1726416,10,Home Mortgage,Home Improvements,17695.84,28.3,28,11,0,186390,282128,0,0,592,Fair,208.11,225.99986901728704,151.24867452506646,54.92603791,660,300,111.53,86.53231866386889,161.801,11,671
a9ddaf4d-8248-40c9-9c3c-f513c0b58d18,cfae6856-cc51-4a3b-9bf0-c353b41693b3,Fully Paid,555676,Long Term,592,2111527,10,Home Mortgage,Debt Consolidation,39432.79,25.9,56,9,0,1306288,1624656,0,0,592,Fair,218.48,322.99985719887525,157.2470388331032,53.98631573531125,773,300,114.99,49.96986438975388,241.633,9,716
00b72620-70a3-4a71-8716-5af26f491b28,59d760ba-c966-44e0-89b0-3ecf43a07d82,Fully Paid,463826,Long Term,593,1252993,9,Rent,other,34561.76,13.7,4,13,0,429248,804254,0,0,593,Fair,216.13,292.9998289204368,115.22967267021926,55.61335192586435,700,300,53.12,118.90090692741347,48.899,13,534
b0c9988a-3b8e-4625-a507-edd8030c206c,95fb2760-98f2-4304-8042-d7efffaf1a7c,Charged Off,392348,Long Term,593,951805,7,Home Mortgage,Debt Consolidation,17449.79,11.6,46,13,0,174097,255838,0,0,593,Fair,210.09,228.9997977531673,156.2229049704177,55.61335192586435,671,300,100.08,81.47325651388769,172.65200000000002,13,667
75205da7-77af-43b9-baf4-4597d942f476,bc7ec99c-1510-435b-95fa-41d3cae14594,Fully Paid,750728,Long Term,593,2133681,5,Home Mortgage,Home Improvements,47118.86,12.9,43,15,1,272346,804496,0,1,593,Fair,214.35,246.9998943010402,155.72736019914706,56.13741602,693,300,91.83,168.6748597879915,166.88299999999998,15,742
19de24a7-b6a0-4f6d-90c5-8aa6d0b044b9,fe1a103d-e2f3-4e76-89ff-427746d06ef9,Charged Off,267454,Long Term,593,785935,4,Rent,Debt Consolidation,23970.97,17.4,64,13,1,98724,230934,1,0,593,Fair,218.65,235.9997033093072,157.73755554956793,55.61335192586435,688,300,109.56,145.98781470030397,243.578,13,812
df1c7dfd-c4ac-4d41-857b-ec0ed0e1bb91,12e5ef07-71c7-4751-8fd5-2a970245f217,Charged Off,474364,Long Term,594,1347955,1,Home Mortgage,Debt Consolidation,26060.4,15,27,16,1,267026,634876,1,0,594,Fair,213.95,265.9998327209683,150.73289411410522,56.35530867915885,707,300,77.2,147.7481429,123.21,16,664
