Customer_ID,Loan,Current Loan Amount,Term,Annual Income,Years in current job,Home Ownership,Purpose,Monthly Debt,Years of Credit History,Months since last delinquent,Number of Open Accounts,Number of Credit Problems,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens,Score
1,1,445412,0,1167493,8,Home Mortgage,Home Improvements,5214.74,17.2,0,6,1,228190,416746,1,0,711.0
2,1,262328,0,0,10,Home Mortgage,Debt Consolidation,33295.98,21.1,8,35,0,229976,850784,0,0,684.0
3,1,99999999,0,2231892,8,Own Home,Debt Consolidation,29200.53,14.9,29,18,1,297996,750090,0,0,
4,1,347666,1,806949,3,Own Home,Debt Consolidation,8741.9,12.0,0,9,0,256329,386958,0,0,618.0
5,1,176220,0,0,5,Rent,Debt Consolidation,20639.7,6.1,0,15,0,253460,427174,0,0,597.0
6,0,206602,0,896857,10,Home Mortgage,Debt Consolidation,16367.74,17.3,0,6,0,215308,272448,0,0,579.0
7,1,217646,0,1184194,0,Home Mortgage,Debt Consolidation,10855.08,19.6,10,13,1,122170,272052,1,0,599.0
8,0,648714,1,0,0,Home Mortgage,Buy House,14806.13,8.2,8,15,0,193306,864204,0,0,635.0
9,1,548746,0,2559110,2,Rent,Debt Consolidation,18660.28,22.6,33,4,0,437171,555038,0,0,611.0
10,1,215952,0,1454735,0,Rent,Debt Consolidation,39277.75,13.9,0,20,0,669560,1021460,0,0,612.0
11,1,99999999,0,714628,3,Rent,Debt Consolidation,11851.06,16.0,76,16,0,203965,289784,0,0,
12,1,541970,0,0,10,Home Mortgage,Home Improvements,23568.55,23.2,0,23,0,60705,1634468,0,0,837.0
13,1,99999999,0,776188,0,Own Home,Debt Consolidation,11578.22,8.5,25,6,0,134083,220220,0,0,
14,1,99999999,0,1560907,4,Rent,Debt Consolidation,17560.37,13.3,0,10,1,225549,496474,1,0,
15,1,234124,0,693234,10,Rent,Debt Consolidation,14211.24,24.7,46,10,1,28291,107052,1,0,812.0
16,1,449020,1,0,9,Own Home,Debt Consolidation,18904.81,19.4,0,8,0,334533,428956,0,0,604.0
17,0,653004,1,0,7,Home Mortgage,Debt Consolidation,14537.09,20.5,0,9,0,302309,413754,0,0,641.0
18,1,666204,1,1821967,10,Home Mortgage,Debt Consolidation,17612.24,22.0,34,15,0,813694,2004618,0,0,749.0
19,1,66396,0,0,10,Rent,Debt Consolidation,9898.81,27.1,0,23,1,9728,402380,1,0,839.0
20,1,390390,0,1791738,8,Home Mortgage,Home Improvements,2478.55,22.7,0,6,0,121182,801812,0,0,905.0
21,0,317108,1,1133274,8,Rent,Debt Consolidation,9632.81,17.4,53,4,0,60287,126940,0,0,763.0
22,1,128238,0,1354073,0,Rent,Debt Consolidation,13202.15,11.9,0,7,0,131936,458788,0,0,677.0
23,0,153252,0,1890690,2,Rent,Debt Consolidation,21900.35,15.7,0,12,0,891594,1081014,0,0,563.0
24,1,91894,0,850383,10,Home Mortgage,Debt Consolidation,5860.74,17.5,0,7,0,95608,230626,0,0,681.0
25,1,244926,1,1249953,4,Home Mortgage,Debt Consolidation,6812.26,14.4,0,6,1,143051,245014,0,1,638.0
26,1,465410,1,1722654,3,Rent,Buy House,15647.45,22.3,30,7,0,107559,488356,0,0,750.0
27,1,99999999,0,1029857,1,Rent,Debt Consolidation,13817.18,12.0,0,6,0,138339,221232,0,0,
28,1,443960,0,1432391,2,Home Mortgage,Debt Consolidation,25186.21,14.0,0,15,0,342475,905344,0,0,687.0
29,1,99999999,0,1749748,10,Home Mortgage,Debt Consolidation,19247.19,20.0,32,17,0,224390,295240,0,0,
30,1,107404,0,0,0,Home Mortgage,other,19238.07,43.7,0,5,0,28956,58014,0,0,731.0
31,1,99999999,0,1501912,6,Rent,Business Loan,31039.54,18.0,0,8,0,229349,469172,0,0,
32,1,334620,0,1348620,2,Rent,Debt Consolidation,16913.99,20.0,0,16,0,313177,539616,0,0,662.0
33,0,130174,0,524609,0,Rent,Debt Consolidation,9311.71,15.4,0,7,1,130701,268818,1,0,643.0
34,1,333564,1,1248338,10,Home Mortgage,Debt Consolidation,18205.04,14.6,0,18,0,300979,515526,0,0,652.0
35,1,109318,1,0,10,Home Mortgage,Buy a Car,15524.9,22.7,0,9,0,77121,920524,0,0,779.0
36,1,125796,0,1261068,5,Home Mortgage,Debt Consolidation,20597.33,24.5,0,13,0,684817,997414,0,0,634.0
37,1,99999999,0,752039,4,Home Mortgage,Debt Consolidation,17046.23,14.1,0,10,0,213484,478126,0,0,
38,1,161172,0,796499,8,Home Mortgage,Debt Consolidation,3404.99,22.6,0,6,1,114095,170038,0,0,662.0
39,0,259842,0,0,8,Home Mortgage,Debt Consolidation,11792.73,20.6,34,9,0,401584,708818,0,0,673.0
40,1,449108,0,1454507,8,Home Mortgage,Debt Consolidation,13090.43,28.8,21,14,0,193990,458414,0,0,709.0
41,0,688468,1,1494616,0,Rent,Debt Consolidation,14697.07,16.6,50,8,0,343995,843854,0,0,779.0
42,1,210166,0,0,2,Rent,Debt Consolidation,13084.54,14.0,20,10,0,314336,483362,0,0,560.0
43,1,327008,1,0,4,Home Mortgage,Debt Consolidation,15419.45,16.7,24,13,0,268090,529738,0,0,636.0
44,0,288948,0,537472,10,Rent,Debt Consolidation,5777.9,14.8,0,4,0,132468,164406,0,0,599.0
45,1,311762,1,2211657,4,Home Mortgage,Debt Consolidation,44601.74,14.5,15,11,0,213921,509652,0,0,595.0
46,1,266112,0,919296,1,Rent,Debt Consolidation,12946.79,21.6,0,9,0,266266,485518,0,0,661.0
47,1,129712,0,1465698,10,Own Home,Debt Consolidation,18199.15,19.4,6,34,1,45106,163218,0,0,665.0
48,1,287980,0,1013954,0,Home Mortgage,Debt Consolidation,16138.6,18.6,13,11,0,223117,489302,0,0,600.0
49,1,439428,0,1518024,8,Rent,Debt Consolidation,20923.56,17.8,0,11,0,209304,265716,0,0,598.0
50,0,456808,1,1096167,10,Own Home,Debt Consolidation,14341.39,14.1,0,8,0,161861,278058,0,0,644.0
51,1,518012,1,1193010,10,Own Home,Debt Consolidation,22667.38,20.9,0,11,0,452770,1080926,0,0,707.0
52,0,219692,1,527839,10,Rent,Debt Consolidation,14207.63,17.0,48,9,0,254277,379918,0,0,686.0
53,0,214874,0,0,2,Rent,Debt Consolidation,20322.78,15.6,69,8,0,285589,402776,0,0,742.0
54,0,374176,1,1239199,10,Home Mortgage,other,5163.25,36.6,42,10,0,126350,415602,0,0,886.0
55,1,99999999,1,2509520,10,Home Mortgage,Debt Consolidation,34714.9,40.8,35,12,0,733324,1035496,0,0,
56,0,176198,0,1902090,10,Home Mortgage,Debt Consolidation,28372.89,15.4,7,9,0,206872,620554,0,0,589.0
57,0,78012,0,728726,4,Rent,major_purchase,10135.36,11.4,0,8,0,104633,199936,0,0,619.0
58,1,669372,0,2158210,7,Home Mortgage,Debt Consolidation,34711.29,9.2,0,17,0,496052,638176,0,0,578.0
59,1,130922,0,2261304,2,Rent,Debt Consolidation,9761.25,16.1,30,6,0,110428,235488,0,0,644.0
60,1,174548,0,1620681,6,Rent,Take a Trip,30522.74,15.0,27,7,0,40489,128832,0,0,666.0
61,0,290224,1,837045,7,Home Mortgage,Debt Consolidation,8230.99,18.3,10,11,0,176624,370480,0,0,606.0
62,1,718784,1,1648915,10,Home Mortgage,Debt Consolidation,15664.74,12.0,5,10,0,252016,489610,0,0,564.0
63,1,152548,0,0,7,Home Mortgage,Debt Consolidation,19164.54,12.1,26,22,0,120916,946000,0,0,732.0
64,1,602008,1,2896721,2,Own Home,Debt Consolidation,48278.62,19.6,32,17,0,5246261,11887678,0,0,693.0
65,1,171248,0,3035725,10,Home Mortgage,Debt Consolidation,42500.15,31.5,17,11,0,25460,151140,0,0,733.0
66,0,523908,1,1028774,6,Home Mortgage,Debt Consolidation,22632.99,19.3,0,5,0,474658,742720,0,0,630.0
67,1,323466,1,2048618,6,Home Mortgage,Debt Consolidation,27997.64,14.0,72,19,1,389994,743952,1,0,822.0
68,0,751520,1,0,6,Home Mortgage,Debt Consolidation,27204.01,20.5,48,19,0,483968,594880,0,0,690.0
69,1,289388,0,0,7,Home Mortgage,Debt Consolidation,9758.4,16.0,0,12,0,439033,1735030,0,0,737.0
70,1,144562,0,1060922,9,Home Mortgage,Debt Consolidation,19750.88,21.8,0,7,0,314773,1035408,0,0,715.0
71,1,211222,0,947625,4,Rent,Debt Consolidation,8923.35,18.0,65,9,1,93081,397694,1,0,872.0
72,1,162360,0,486875,10,Rent,Debt Consolidation,8560.83,15.1,46,16,0,129504,434654,0,0,783.0
73,1,99999999,0,2770162,5,Home Mortgage,Debt Consolidation,48708.4,25.6,25,13,0,348802,449262,0,0,
74,1,311058,1,1343167,0,Home Mortgage,Debt Consolidation,21378.8,31.4,17,11,0,247912,541596,0,0,659.0
75,1,767536,1,6628720,10,Home Mortgage,Debt Consolidation,53747.96,29.5,0,13,0,1426425,2510112,0,0,696.0
76,0,133034,0,0,5,Own Home,other,30520.46,13.8,0,23,0,113278,1561406,0,0,770.0
77,1,389884,0,4776125,1,Home Mortgage,Debt Consolidation,42985.22,21.5,4,14,1,237500,562386,1,0,581.0
78,1,163966,0,719910,9,Home Mortgage,Home Improvements,12778.26,6.4,0,9,1,66025,138248,0,1,624.0
79,1,433312,0,1010401,7,Home Mortgage,Debt Consolidation,22228.86,16.1,11,19,0,201780,613228,0,0,640.0
80,1,99999999,0,2015159,6,Home Mortgage,Debt Consolidation,21494.89,10.5,54,16,0,321214,478060,0,0,
81,1,99999999,0,1875680,5,Rent,other,9393.98,13.0,0,14,0,232674,1353858,0,0,
82,1,89320,0,1832075,0,Home Mortgage,Other,13312.92,19.0,0,6,0,127946,216260,0,0,620.0
83,1,392282,1,974662,8,Home Mortgage,Debt Consolidation,10396.42,12.0,10,11,0,35663,242946,0,0,670.0
84,1,444620,0,0,2,Home Mortgage,Home Improvements,15292.34,11.8,0,9,0,373350,522742,0,0,593.0
85,1,262988,0,1340279,0,Rent,Debt Consolidation,9348.38,28.2,35,9,0,499548,681296,0,0,660.0
86,1,498586,1,1351679,3,Rent,Other,32214.88,12.2,0,15,0,205637,433686,0,0,655.0
87,1,378334,0,2120514,2,Rent,Debt Consolidation,35695.3,17.0,24,12,0,75335,413402,0,0,705.0
88,1,99999999,0,1355802,3,Rent,Debt Consolidation,15365.68,44.5,31,8,0,25441,1841796,0,0,
89,0,194942,0,1212238,1,Rent,Debt Consolidation,25254.99,27.4,19,13,1,176396,339834,1,0,635.0
90,1,731566,0,1377443,10,Home Mortgage,Debt Consolidation,13429.96,20.4,65,18,0,563008,1070432,0,0,861.0
91,1,479358,0,0,10,Rent,Debt Consolidation,22659.59,22.4,41,13,0,807462,1391302,0,0,714.0
92,1,336908,0,0,10,Rent,Debt Consolidation,6652.47,29.1,0,8,0,277419,1119250,0,0,803.0
93,1,270116,0,0,2,Home Mortgage,Debt Consolidation,15649.92,31.3,0,22,0,648850,3996322,0,0,819.0
94,1,156772,0,1411966,6,Home Mortgage,Home Improvements,22591.38,18.0,73,10,0,38456,251548,0,0,913.0
95,1,306548,0,0,6,Rent,Debt Consolidation,11157.37,17.5,0,10,0,200127,387508,0,0,669.0
96,1,432080,0,0,10,Rent,Debt Consolidation,35360.14,17.9,24,22,0,160550,685982,0,0,725.0
97,1,158818,0,315666,0,Own Home,Debt Consolidation,8522.83,31.3,60,13,2,260072,756646,0,2,872.0
98,0,78738,0,536370,2,Rent,other,14034.92,10.5,15,14,0,138586,266112,0,0,558.0
99,1,453464,0,895147,3,Rent,Debt Consolidation,17007.85,14.2,77,12,1,137845,222926,1,0,817.0
100,1,595672,0,1305927,10,Rent,Debt Consolidation,13603.43,25.9,0,8,0,108148,129624,0,0,635.0
101,1,166672,0,1048667,10,Home Mortgage,Debt Consolidation,16166.91,16.0,18,10,0,167656,267014,0,0,567.0
102,1,132792,0,668990,4,Rent,other,6132.25,14.7,0,5,0,61199,214742,0,0,699.0
103,0,119504,0,938315,2,Home Mortgage,Buy House,11807.17,13.0,9,11,0,32300,104170,0,0,594.0
104,1,33022,0,1673007,7,Rent,Debt Consolidation,25234.47,23.3,80,13,0,125609,323928,0,0,902.0
105,1,448976,0,4071396,10,Home Mortgage,Debt Consolidation,10348.16,19.7,0,7,0,486001,1253340,0,0,723.0
106,1,280588,0,671080,3,Rent,Debt Consolidation,17447.89,10.0,70,10,1,168169,470360,1,0,825.0
107,0,556336,1,1402960,10,Home Mortgage,Debt Consolidation,19524.4,19.5,38,5,0,317338,389246,0,0,622.0
108,1,541310,0,1682982,1,Home Mortgage,Debt Consolidation,52733.36,17.9,35,13,0,356288,619432,0,0,654.0
109,1,311872,1,1063810,6,Home Mortgage,Debt Consolidation,28191.06,12.2,0,10,0,391723,591338,0,0,595.0
110,1,340604,1,928701,10,Home Mortgage,Debt Consolidation,21205.52,14.4,0,5,0,291137,368808,0,0,570.0
111,0,765160,1,2643242,7,Home Mortgage,Debt Consolidation,34582.47,20.5,47,19,0,249755,489302,0,0,759.0
112,0,109802,0,474069,0,Rent,Debt Consolidation,1497.39,11.0,0,2,0,91048,186604,0,0,676.0
113,0,349756,1,2491945,3,Rent,Debt Consolidation,23258.28,21.5,0,7,0,270332,660396,0,0,689.0
114,1,545886,0,1565182,7,Rent,Debt Consolidation,41477.0,15.0,6,16,0,80465,296714,0,0,618.0
115,1,99999999,0,2435667,7,Rent,Debt Consolidation,31257.66,12.3,0,10,0,72276,1073028,0,0,
116,1,354046,1,1815469,10,Home Mortgage,Home Improvements,5522.16,13.0,6,6,0,20976,70840,0,0,638.0
117,1,472098,1,2316575,10,Rent,Debt Consolidation,24517.22,28.2,0,9,0,454176,968506,0,0,714.0
118,0,86174,0,837311,1,Home Mortgage,Debt Consolidation,10884.91,13.6,82,15,0,360867,671770,0,0,841.0
119,0,509586,1,1816001,2,Rent,Debt Consolidation,26180.67,13.9,74,32,1,115672,319638,1,0,901.0
120,1,99999999,0,1806083,10,Home Mortgage,Debt Consolidation,29348.92,16.1,25,22,0,492556,724680,0,0,
121,1,218988,0,775409,4,Home Mortgage,Debt Consolidation,8141.88,14.9,9,5,0,100206,186230,0,0,550.0
122,1,176462,0,0,10,Home Mortgage,Home Improvements,14223.59,26.5,0,7,0,171703,1080552,0,0,776.0
